答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),IP省份,IP城市,来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,答题时长,状态,Q1_Your gender :,Q2_Your age:,Q3_Your current statue:,Q4_Your target degree:,Q5_Who is your sponsor? (multiple choice)_Parents,Q5_Who is your sponsor? (multiple choice)_Government or Corporation,Q5_Who is your sponsor? (multiple choice)_Personal,Q6_Have you ever studied abroad?,Q7_Marital status:,Q8_Do you plan to find a job in the United States after graduation?,Q9_Which major do you want to study ?,"Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Salary_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Employment rate_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Self-interest_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Composition of students nationality_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_Expectation of parents_开放选项","Q10_Which of the following factors do you think influenced you choose a major? Grade your choice. (0 means no impact, 10 means very important)_The advice from friends_开放选项",Q11_Which of the following factors is the most important reason when you choose a major?,Q12_How are you today :-)
1,221.197.4.47,,,,,天津市,天津市,,,,, 2020-10-22 12:50:47, 2020-10-22 12:51:39,Unknown Browser,iPhone iOS 14.0.1,0分52秒,正常完成,Female,,Enrolled,Master,Parents,,Personal,Yes,Unmarried,No,,10.0,10.0,10.0,10.0,10.0,10.0,,A
2,73.134.227.105,,,,,马里兰,,,,,, 2020-10-22 12:47:23, 2020-10-22 12:54:06,Chrome 85.0.4183.121,Windows NT 10.0,6分43秒,正常完成,Male,,Enrolled,Master,Parents,,,No,Unmarried,Yes,,8.0,9.0,7.0,1.0,1.0,3.0,,D
3,108.45.131.181,,,,,马里兰,,,,,, 2020-10-22 12:55:07, 2020-10-22 12:55:59,Unknown Browser,MacOS Macintosh X 10.15.5,0分52秒,正常完成,Female,,Enrolled,Master,Parents,,,Yes,Married,Yes,,8.0,10.0,6.0,5.0,2.0,1.0,,A
4,36.104.125.201,,,,,吉林省,,,,,, 2020-10-22 13:09:35, 2020-10-22 13:10:52,Unknown Browser,iPhone iOS 14.0.1,1分17秒,正常完成,Female,,Enrolled,Master,Parents,,,No,Unmarried,No,,7.0,7.0,8.0,5.0,6.0,5.0,,C
5,223.104.3.28,,,,,北京市,北京市,,,,, 2020-10-22 13:11:41, 2020-10-22 13:12:34,Chrome 78.0.3904.62,Android Linux 10,0分53秒,正常完成,Female,,Graduated,Master,Parents,,,Yes,Unmarried,No,,9.0,8.0,9.0,8.0,8.0,8.0,,B
6,183.131.200.231,,,,,浙江省,金华市,,,,, 2020-10-22 13:10:05, 2020-10-22 13:12:34,Chrome 78.0.3904.62,Android Linux 10,2分29秒,正常完成,Female,,Graduated,Master,Parents,,,Yes,Unmarried,No,,8.0,9.0,10.0,6.0,6.0,7.0,,C
7,69.140.121.83,,,,,马里兰,,,,,, 2020-10-22 13:13:36, 2020-10-22 13:15:08,Unknown Browser,iPhone iOS 13.4.1,1分32秒,正常完成,Female,,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,,8.0,10.0,7.0,5.0,1.0,1.0,,D
8,68.33.74.27,,,,,马里兰,,,,,, 2020-10-22 13:13:27, 2020-10-22 13:15:14,Unknown Browser,iPhone iOS 13.3,1分47秒,正常完成,Female,,Enrolled,PHD,Parents,,,Yes,Unmarried,No,,10.0,10.0,10.0,1.0,7.0,4.0,,B
9,114.87.110.95,,,,,上海市,上海市,,,,, 2020-10-22 13:14:33, 2020-10-22 13:15:49,Unknown Browser,MacOS Macintosh X 10.15.6,1分16秒,正常完成,Female,,Enrolled,Master,Parents,,,Yes,Unmarried,Yes,,10.0,9.0,9.0,8.0,7.0,7.0,,C
10,115.60.17.241,,,,,河南省,郑州市,,,,, 2020-10-22 13:16:28, 2020-10-22 13:18:01,Chrome 78.0.3904.62,Android Linux 10,1分33秒,正常完成,Male,,Graduated,PHD,Parents,,,Yes,Unmarried,No,,7.0,8.0,8.0,2.0,8.0,7.0,,C
11,100.15.182.213,,,,,马里兰,,,,,, 2020-10-22 13:17:28, 2020-10-22 13:18:46,Unknown Browser,iPhone iOS 13.6,1分18秒,正常完成,Male,,Not enrolled,PHD,Parents,,,Yes,Unmarried,Yes,,8.0,6.0,4.0,2.0,9.0,5.0,,B
12,223.104.66.60,,,,,广东省,东莞市,,,,, 2020-10-22 13:17:41, 2020-10-22 13:19:53,Unknown Browser,iPhone iOS 13.6,2分12秒,正常完成,Female,,Graduated,Master,Parents,,,Yes,Unmarried,No,,10.0,8.0,10.0,7.0,10.0,5.0,,A
13,210.13.84.164,,,,,上海市,上海市,,,,, 2020-10-22 13:21:08, 2020-10-22 13:21:48,Unknown Browser,iPhone iOS 14.0.1,0分40秒,正常完成,Male,,Graduated,Master,Parents,,,Yes,Unmarried,Yes,,9.0,8.0,9.0,7.0,8.0,8.0,,D
14,69.140.170.104,,,,,马里兰,,,,,, 2020-10-22 13:20:52, 2020-10-22 13:22:52,Unknown Browser,iPhone iOS 13.3,2分0秒,正常完成,Female,,Enrolled,Master,Parents,,,No,Unmarried,No,,10.0,10.0,10.0,10.0,3.0,2.0,,A
15,101.247.128.61,,,,,山西省,太原市,,,,, 2020-10-22 13:22:34, 2020-10-22 13:24:16,Unknown Browser,iPhone iOS 14.0,1分42秒,正常完成,Female,,Graduated,Master,Parents,,,Yes,Unmarried,No,,10.0,10.0,10.0,1.0,1.0,4.0,,A
16,73.86.9.81,,,,,马里兰,,,,,, 2020-10-22 13:23:24, 2020-10-22 13:25:24,Unknown Browser,iPhone iOS 14.0.1,2分0秒,正常完成,Female,,Graduated,Master,Parents,,Personal,Yes,Unmarried,Yes,,7.0,8.0,9.0,3.0,7.0,2.0,,A
17,27.204.242.112,,,,,山东省,枣庄市,,,,, 2020-10-22 13:25:07, 2020-10-22 13:25:33,Unknown Browser,iPhone iOS 13.7,0分26秒,正常完成,Male,,Enrolled,Master,,Government or Corporation,,No,Married,No,,3.0,7.0,7.0,3.0,7.0,3.0,,B
18,113.5.13.63,,,,,黑龙江省,哈尔滨市,,,,, 2020-10-22 13:27:01, 2020-10-22 13:28:14,Unknown Browser,iPhone iOS 13.7,1分13秒,正常完成,Male,,Graduated,Master,Parents,,,No,Unmarried,No,,7.0,9.0,10.0,6.0,8.0,7.0,,A
